"PKey","Name","ProjectId","ProjectMap","SetId","Pid","AddrSlct","Address","Alias","AliasType","P1","P2","P3","P4","P5","P6","P7","P8","Type","Format","IsScale","ScaleOffst","ScaleFact","IsDeadband","Deadband","IsModify","MsInput","MsOutput","MsAutoSubs","MsUnit"
"74","3b8f9dc7-a58d-4a2c-95d3-bec89eaf3e31","0","0","RTAC_DESET","ROC07A,V_A:A","0","1749","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","21207507-8729-4690-b7aa-6ed7b4220f5b","0","0","RTAC_DESET","ROC07A,V_B:A","0","1750","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","f56db99d-2ce9-45bd-bb31-431cdaa19a29","0","0","RTAC_DESET","ROC07A,V_C:A","0","1751","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","9c74cad0-d0f5-4755-8199-1fdfb34953a1","0","0","RTAC_DESET","ROC08,A_A:A","0","1812","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","f95c7e75-3aeb-436e-910b-3b73a108dc1b","0","0","RTAC_DESET","ROC08,A_B:A","0","1813","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","42de1495-3889-4974-8882-9f1282a6183f","0","0","RTAC_DESET","ROC08,A_C:A","0","1814","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","6e778d7b-9fe9-488e-a62e-6b2e6dc5987c","0","0","RTAC_DESET","ROC08,A_N:A","0","1815","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","5395896e-9b34-40ad-bbd3-064817136863","0","0","RTAC_DESET","ROC08,FREQUENCY:A","0","1805","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","23f0336f-5760-4097-ab2d-46566504664b","0","0","RTAC_DESET","ROC08,KVAR:A","0","1803","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","93a1b221-1891-48b0-90c5-cacd67e92472","0","0","RTAC_DESET","ROC08,KVAR_COMP:A","0","1801","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","f3661115-5f3f-43b3-acff-df8f9d3db525","0","0","","GRE02A,KVAR:A","0","1","Greer_2A_KW","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"85","165f68d7-3f4c-430a-b319-6270f2f69598","0","0","","GRE02B,KW_COMP:A","0","2","Greer_2A_KW","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"86","cbe07447-8f22-472e-9bac-0be4762e594d","0","0","","GRE02B,KVAR:A","0","3","Greer_2A_KW","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"87","f19c250a-a225-4d6c-b929-7fdc23719a2e","0","0","RTAC_DESET","ROC08,KW:A","0","1802","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","c77e1e0a-f18f-42f1-ae31-ed87ec26d6ad","0","0","RTAC_DESET","ROC12,A_B:A","0","1933","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","453d99db-6557-4dcb-9ab1-329275380a02","0","0","RTAC_DESET","SYS$,HOUREND_HOUR:A","0","3","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","998e96e4-fda7-4fe2-b907-21b8d526ab17","0","0","RTAC_DESET","SYS$,PMPA_CURRHRAVG_MW_COMP_WLOSS:A","0","1","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","2dd60041-99b4-451c-876f-ce3a48e920c1","0","0","RTAC_DESET","SYS$,PMPA_KW_COMP_WLOSS:A","0","0","","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"92","39797f7e-f5a7-4552-a176-e481b8748ba8","0","0","RTAC_DESET","SYS$,PMPA_LOAD_LESS1:A","0","2","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","bc5f2540-0ada-47c6-93f6-053900db4857","0","0","RTAC_DESET","SYS$,PMPA_LOAD_LESS10:A","0","20","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","03a3a5f4-7454-4c9a-a76b-66c15235248a","0","0","RTAC_DESET","SYS$,PMPA_LOAD_LESS11:A","0","22","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","f3f2fa31-cc34-4c54-9c43-c70c5a54cf2c","0","0","RTAC_DESET","SYS$,PMPA_LOAD_LESS2:A","0","4","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","7b6d72c4-e40c-46cd-845d-74a4ca15e7e7","0","0","RTAC_DESET","SYS$,PMPA_LOAD_LESS3:A","0","6","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","bb03f121-80f7-406f-9d5f-9becf621a5d7","0","0","RTAC_DESET","SYS$,PMPA_LOAD_LESS4:A","0","8","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","ff52b8ca-ea7c-4236-9a95-2204f6f617c9","0","0","RTAC_DESET","SYS$,PMPA_LOAD_LESS5:A","0","10","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","2824c741-3b49-49b0-a137-86181c051740","0","0","RTAC_DESET","SYS$,PMPA_LOAD_LESS6:A","0","12","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","5c1f215c-9329-4cc2-b63f-1f6a57181f81","0","0","RTAC_DESET","SYS$,PMPA_LOAD_LESS7:A","0","14","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","cab07776-ba88-4159-85fc-c5f64af04f64","0","0","RTAC_DESET","SYS$,PMPA_LOAD_LESS8:A","0","16","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","ffe6d520-a279-4b6c-a816-0adaf4d6b00b","0","0","RTAC_DESET","SYS$,PMPA_LOAD_LESS9:A","0","18","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","ce3f0232-f9ec-40e0-9a51-7af127aaf0af","0","0","RTAC_DESET","SYS$,PREVIOUS_10HOUR:A","0","23","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","87a8b004-c01e-429c-98e8-ae4133bce73f","0","0","RTAC_DESET","SYS$,PREVIOUS_1HOUR:A","0","5","","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"105","48c6db30-6886-4cb4-a3d6-c0b4d36ab1ac","0","0","RTAC_DESET","SYS$,PREVIOUS_2HOUR:A","0","7","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","6f02c165-cde9-4578-99b0-7d7cbbe1072b","0","0","RTAC_DESET","SYS$,PREVIOUS_3HOUR:A","0","9","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","25b21658-d86c-47e3-96b9-d3ea59ccf4de","0","0","RTAC_DESET","SYS$,PREVIOUS_4HOUR:A","0","11","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","06bb2df7-72d1-4d0f-b762-cfdb6424c439","0","0","RTAC_DESET","SYS$,PREVIOUS_5HOUR:A","0","13","","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
