"PKey","Name","ProjectId","FunctionId","TemplateId","IsTemplate","P1Type","P1Const","P1Pid","P2Type","P2Const","P2Pid","P3Type","P3Const","P3Pid","P4Type","P4Const","P4Pid","P5Type","P5Const","P5Pid","P6Type","P6Const","P6Pid","P7Type","P7Const","P7Pid","P8Type","P8Const","P8Pid"
"1409","1ae014b1-80fe-430f-813f-a8f13da1ab69","0","11","","0","0","0","ROC10,CHK_MESSAGES_BAD:A","0","0","ROC10,CHK_MESSAGES_GOOD:A","0","0","ROC10,CHK_TIMEOUTS:A","0","0","ROC10,CHK_TOTAL_MSG_RCV:A","0","0","ROC10,CHK_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0",""
"1410","af4b1d7c-9e1e-45c4-a887-2dfb5b5b07b7","0","4","","0","0","0","ROC10,PRI_PERCENT_VALID:A","0","0","ROC10,PRI_TOTAL_MSG_RCV:A","0","0","ROC10,PRI_TOTAL_MSG_SNT:A","0","0","","0","0","ROC10,CHK_PERCENT_VALID:A","0","0","ROC10,CHK_TOTAL_MSG_RCV:A","0","0","ROC10,CHK_TOTAL_MSG_SNT:A","0","0",""
"1411","a0090f50-7f46-4bc5-a6bf-5cbb4f862332","0","11","","0","0","0","ROC11,PRI_MESSAGES_BAD:A","0","0","ROC11,PRI_MESSAGES_GOOD:A","0","0","ROC11,PRI_TIMEOUTS:A","0","0","ROC11,PRI_TOTAL_MSG_RCV:A","0","0","ROC11,PRI_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0",""
"1412","9d1149e9-6d67-4641-bf45-efcf232119ee","0","11","","0","0","0","ROC11,CHK_MESSAGES_BAD:A","0","0","ROC11,CHK_MESSAGES_GOOD:A","0","0","ROC11,CHK_TIMEOUTS:A","0","0","ROC11,CHK_TOTAL_MSG_RCV:A","0","0","ROC11,CHK_TOTAL_MSG_SNT:A","0","0","","0","0","","0","0",""
"1413","b498c0bc-b37a-482a-b640-3aa40fff7701","0","34","","0","0","0","GRE07B,KW_C:A","0","0","GRE07B,KW_C_STATUS:S","0","0","GRE07B,PRI_KW_C:A","0","0","GRE07B,CHK_KW_C:A","0","0","","0","0","","0","0","","0","0",""
"1414","46c9e7e0-1115-4071-81ba-24093bff8518","0","4","","0","0","0","ROC11,PRI_PERCENT_VALID:A","0","0","ROC11,PRI_TOTAL_MSG_RCV:A","0","0","ROC11,PRI_TOTAL_MSG_SNT:A","0","0","","0","0","ROC11,CHK_PERCENT_VALID:A","0","0","ROC11,CHK_TOTAL_MSG_RCV:A","0","0","ROC11,CHK_TOTAL_MSG_SNT:A","0","0",""
"1415","9252c912-6e8a-4894-aa99-a0863a4f773d","0","17","","0","0","0","SYS$,ROC_KW:A","0","0","SYS$,ROC_60MIN_KW:A","0","0","","0","0","","0","0","","0","0","","0","0","","0","0",""
"1416","abc0589d-d023-465b-bde2-c4e3ea0a3e5a","0","34","","0","0","0","EAS04B,KW_COMP:A","0","0","EAS04B,KW_COMP_STATUS:S","0","0","EAS04B,PRI_KW_COMP:A","0","0","EAS04B,CHK_KW_COMP:A","0","0","EAS04B,KW_COMP_ESTIMATE:A","0","0","","0","0","","0","0",""
"1417","a15de8a3-d99b-4548-bde3-01da25e22d70","0","34","","0","0","0","GRE07A,KVAR_B:A","0","0","GRE07A,KVAR_B_STATUS:S","0","0","GRE07A,PRI_KVAR_B:A","0","0","GRE07A,CHK_KVAR_B:A","0","0","","0","0","","0","0","","0","0",""
"1418","e05df83e-6362-4630-b6dd-962c1d019e35","0","6","","0","0","0","SYS$,ROC_60MIN_KW:A","0","0","SYS$,ROC_PREVHOUR_TOTAL_KW:A","0","0","","0","0","","0","0","","0","0","","0","0","","0","0",""
"1419","9dac11d6-ae95-46af-8cb3-043350ccddf0","0","4","","0","0","0","SYS$,ROC_KW_COMP_WITH_LOSSES:A","0","0","SYS$,ROC_KW_COMP:A","1","0.97","","0","0","","0","0","SYS$,VARIABLE4:A","0","0","DUKE,CME_ENTITLEMENT_MW:A","1","277","","0","0",""
