RTUID,NAME,ENGUNITS,SCALEFACT,STATIONPID,PREMGHI,PREMGSEVHI,EMGHI,EMGSEVHI,PREMGLO,PREMGSEVLO,EMGLO,EMGSEVLO
,PRI_PF_C,,0.01,CLI02,0,0,0,0,0,0,0,0
EAS03_PRI,PRI_KW,KW,0.18,EAS03,0,0,0,0,0,0,0,0
EAS03_PRI,PRI_KVAR,KVAR,0.18,EAS03,0,0,0,0,0,0,0,0
EAS04A_CHK,CHK_A_N,A,0.2,EAS04A,0,0,0,0,0,0,0,0
EAS04A_CHK,CHK_FREQUENCY,,0.001,EAS04A,0,0,0,0,0,0,0,0
EAS04A_CHK,CHK_KW,KW,0.012,EAS04A,0,0,0,0,0,0,0,0
EAS04A_CHK,CHK_KVAR,KVAR,0.012,EAS04A,0,0,0,0,0,0,0,0
EAS04A_PRI,PRI_A_N,A,0.2,EAS04A,0,0,0,0,0,0,0,0
,DayOfWeek,,1.0,SYS$,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_KW_COMP,KW,0.048,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_KW_A,KW,0.048,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_KW_B,KW,0.048,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_KW_C,KW,0.048,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_KVAR,KVAR,0.048,CLI02,0,0,0,0,0,0,0,0
,CHK_KVAR_A,KVAR,1.0,CLI02,0,0,0,0,0,0,0,0
,CHK_KVAR_B,KVAR,1.0,CLI02,0,0,0,0,0,0,0,0
,CHK_KVAR_C,KVAR,1.0,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_V,kV,0.0012,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_V_A,kV,0.0012,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_V_B,kV,0.0012,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_V_C,kV,0.0012,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_A,A,0.4,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_A_A,A,0.4,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_A_B,A,0.4,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_A_C,A,0.4,CLI02,0,0,0,0,0,0,0,0
CLI02_CHK,CHK_PF,,0.01,CLI02,0,0,0,0,0,0,0,0
,CHK_PF_A,,0.01,CLI02,0,0,0,0,0,0,0,0
,CHK_PF_B,,0.01,CLI02,0,0,0,0,0,0,0,0
,CHK_PF_C,,0.01,CLI02,0,0,0,0,0,0,0,0
EAS04A_PRI,PRI_FREQUENCY,,0.001,EAS04A,0,0,0,0,0,0,0,0
EAS04A_PRI,PRI_KW,KW,0.012,EAS04A,0,0,0,0,0,0,0,0
EAS04A_PRI,PRI_KVAR,KVAR,0.012,EAS04A,0,0,0,0,0,0,0,0
EAS04B_CHK,CHK_KVAR_COMP,KVAR,0.0096,EAS04B,0,0,0,0,0,0,0,0
EAS04B_CHK,CHK_FREQUENCY,,0.001,EAS04B,0,0,0,0,0,0,0,0
EAS04B_CHK,CHK_A_N,A,0.16,EAS04B,0,0,0,0,0,0,0,0
EAS04B_CHK,CHK_KW,KW,0.0096,EAS04B,0,0,0,0,0,0,0,0
EAS04B_PRI,PRI_A_N,A,0.16,EAS04B,0,0,0,0,0,0,0,0
,KW_COMP,KW,1.0,CLI02,0,0,0,0,0,0,0,0
,KW_A,KW,1.0,CLI02,0,0,0,0,0,0,0,0
,KW_B,KW,1.0,CLI02,0,0,0,0,0,0,0,0
,KW_C,KW,1.0,CLI02,0,0,0,0,0,0,0,0
,KVAR,KVAR,1.0,CLI02,0,0,0,0,0,0,0,0
,KVAR_A,KVAR,1.0,CLI02,0,0,0,0,0,0,0,0
,KVAR_B,KVAR,1.0,CLI02,0,0,0,0,0,0,0,0
,KVAR_C,KVAR,1.0,CLI02,0,0,0,0,0,0,0,0
,V,kV,1.0,CLI02,0,0,0,0,0,0,0,0
,V_A,kV,1.0,CLI02,0,0,0,0,0,0,0,0
,V_B,kV,1.0,CLI02,0,0,0,0,0,0,0,0
,V_C,kV,1.0,CLI02,0,0,0,0,0,0,0,0
,A,A,1.0,CLI02,0,0,0,0,0,0,0,0
,A_A,A,1.0,CLI02,0,0,0,0,0,0,0,0
,A_B,A,1.0,CLI02,0,0,0,0,0,0,0,0
,A_C,A,1.0,CLI02,0,0,0,0,0,0,0,0
,PF,,1.0,CLI02,0,0,0,0,0,0,0,0
,PF_A,,1.0,CLI02,0,0,0,0,0,0,0,0
,PF_B,,1.0,CLI02,0,0,0,0,0,0,0,0
,PF_C,,1.0,CLI02,0,0,0,0,0,0,0,0
EAS04B_PRI,PRI_FREQUENCY,,0.001,EAS04B,0,0,0,0,0,0,0,0
EAS04B_PRI,PRI_KW,KW,0.0096,EAS04B,0,0,0,0,0,0,0,0
EAS04B_PRI,PRI_KVAR,KVAR,0.0096,EAS04B,0,0,0,0,0,0,0,0
EAS05_CHK,CHK_A_N,A,2.0,EAS05,0,0,0,0,0,0,0,0
EAS05_CHK,CHK_FREQUENCY,,0.01,EAS05,0,0,0,0,0,0,0,0
EAS05_CHK,CHK_KW,KW,0.12,EAS05,0,0,0,0,0,0,0,0
EAS05_CHK,CHK_KVAR,KVAR,0.12,EAS05,0,0,0,0,0,0,0,0
EAS05_PRI,PRI_A_N,A,2.0,EAS05,0,0,0,0,0,0,0,0
,KW_COMP_Estimate,KW,1.0,CLI02,0,0,0,0,0,0,0,0
,LASTHRAVG_KW,KW,1.0,CLI02,0,0,0,0,0,0,0,0
,LASTHRAVG_KVAR,KVAR,1.0,CLI02,0,0,0,0,0,0,0,0
,60MIN_KW,KW,0.0,CLI02,0,0,0,0,0,0,0,0
,60MIN_KVAR,KVAR,0.0,CLI02,0,0,0,0,0,0,0,0
EAS01_PRI,PRI_KW_COMP,KW,0.18,EAS01,0,0,0,0,0,0,0,0
EAS01_PRI,PRI_KW_A,KW,0.18,EAS01,0,0,0,0,0,0,0,0
EAS01_PRI,PRI_KW_B,KW,0.18,EAS01,0,0,0,0,0,0,0,0
EAS01_PRI,PRI_KW_C,KW,0.18,EAS01,0,0,0,0,0,0,0,0
EAS01_PRI,PRI_KVAR,KVAR,0.18,EAS01,0,0,0,0,0,0,0,0
,PRI_KVAR_A,KVAR,1.0,EAS01,0,0,0,0,0,0,0,0
,PRI_KVAR_B,KVAR,1.0,EAS01,0,0,0,0,0,0,0,0
,PRI_KVAR_C,KVAR,1.0,EAS01,0,0,0,0,0,0,0,0
EAS01_PRI,PRI_V,kV,0.0006,EAS01,0,0,0,0,0,0,0,0
EAS01_PRI,PRI_V_A,kV,0.0006,EAS01,0,0,0,0,4,3,0,0
EAS01_PRI,PRI_V_B,kV,0.0006,EAS01,0,0,0,0,4,3,0,0
EAS01_PRI,PRI_V_C,kV,0.0006,EAS01,0,0,0,0,4,3,0,0
EAS01_PRI,PRI_A,A,3.0,EAS01,0,0,0,0,0,0,0,0
EAS01_PRI,PRI_A_A,A,3.0,EAS01,0,0,0,0,5,3,0,0
EAS01_PRI,PRI_A_B,A,3.0,EAS01,0,0,0,0,5,3,0,0
EAS01_PRI,PRI_A_C,A,3.0,EAS01,0,0,0,0,5,3,0,0
